[Wed Dec 24 03:20:53.164057 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] ========== AUTH API ==========, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.165104 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] Method: GET, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.165104 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] Action: check, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.165104 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] Session ID: 4hq2q8bpg36m3464f6djknbkrp, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.165104 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] Admin Session ID: ee900f00eef063d354b5d723f4ac4a5e06f34278cac010abd98bb5909d3ed66d, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.165104 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x94\x8d Checking auth..., referer: http://localhost:5000/
[Wed Dec 24 03:20:53.165104 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x94\x8d Session ID found: ee900f00eef063d354b5d723f4ac4a5e06f34278cac010abd98bb5909d3ed66d, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.167174 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xe2\x9c\x85 Auth check passed for: admin, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.241105 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] ========== PACKAGES API ==========, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.241105 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] Method: GET, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.241105 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] Session ID: 4hq2q8bpg36m3464f6djknbkrp, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.241105 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] Admin Session ID: ee900f00eef063d354b5d723f4ac4a5e06f34278cac010abd98bb5909d3ed66d, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.254779 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xe2\x9c\x85 Admin verified: admin, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.254779 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x93\xa6 handleGet called, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.254779 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x93\xa6 Fetching ALL packages, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.255276 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x93\xa6 SQL Query: SELECT * FROM packages WHERE 1=1 ORDER BY created_at DESC, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.255276 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xe2\x9c\x85 Query executed successfully, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.255276 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x93\xa6 Fetched 4 packages from database, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.255276 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x93\xa6 Stock image: /src/assets/stock_images/694b0de204527_1766526434.png, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.256280 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x93\xa6 Stock image: /src/assets/stock_images/sri_lanka_sigiriya_r_ddcb0491.jpg, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.256280 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x93\xa6 Stock image: /src/assets/stock_images/dubai_skyline_with_b_8fae68a6.jpg, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.256280 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x93\xa6 Stock image: /src/assets/stock_images/maldives_water_villa_e130bb66.jpg, referer: http://localhost:5000/
[Wed Dec 24 03:20:53.256280 2025] [php:notice] [pid 18924:tid 708] [client ::1:3978] \xf0\x9f\x93\xa6 Sending response with 4 packages, referer: http://localhost:5000/
